border,n,median,mean,win_rate,sortino
0,3.2,34.86538745588723,43.98705044313988,99.41916747337851,161.78473438935882
0,3.3,35.94272445977565,45.30427862339923,99.41916747337851,199.41474203775905
0,3.4,37.08333084866033,46.633015249094285,99.61277831558567,251.77834433848582
0,3.5,38.147826382662785,47.97334776910424,99.70958373668925,329.23753362810663
0,3.6,39.13162990794803,49.325364189363356,99.70958373668925,453.61868250673064
0,3.7,40.328365131669884,50.6891530757657,99.80638915779284,651.1113469020748
0,3.8,41.38438701405871,52.06480355708116,99.90319457889642,957.6080232091506
0,3.9,42.4827856678069,53.45240532788276,99.90319457889642,1674.4093159315214
0,4.0,43.61771610230198,54.85204865148512,99.90319457889642,5815.40934725891
0,4.1,44.672829913635795,56.26382436289448,100.0,0.0
0,4.2,45.73352002934903,57.687823871769865,100.0,0.0
0,4.3,46.79980454890958,59.12413916539558,100.0,0.0
0,4.4,48.0552219549675,60.57286281166542,100.0,0.0
0,4.5,49.29595847491527,62.03408796207786,100.0,0.0
0,4.6,50.53438486579631,63.507908354743165,100.0,0.0
0,4.7,51.75916062024166,64.99441831740158,100.0,0.0
0,4.8,53.077161049086996,66.49371277045329,100.0,0.0
0,4.9,54.109094345752865,68.00588722999981,100.0,0.0
0,5.0,55.47144273638238,69.53103781089702,100.0,0.0
0,5.1,56.55301243387345,71.06926122981963,100.0,0.0
0,5.2,57.81865868780258,72.62065480833755,100.0,0.0
0,5.3,59.09244487305989,74.18531647600355,100.0,0.0
0,5.4,60.33462567921751,75.763344773453,100.0,0.0
0,5.5,61.68440437305026,77.3548388555149,100.0,0.0
0,5.6,62.93420021955698,78.95989849433501,100.0,0.0
0,5.7,64.2495038730365,80.57862408251056,100.0,0.0
0,5.8,65.57364656590671,82.21111663623671,100.0,0.0
0,5.9,66.74900787205497,83.85747779846508,100.0,0.0
0,6.0,67.90933655244577,85.51780984207369,100.0,0.0
0,6.1,69.30984192911382,87.19221567304926,100.0,0.0
0,6.2,70.77651486437028,88.8807988336812,100.0,0.0
0,6.3,72.05878313452021,90.58366350576733,100.0,0.0
0,6.4,73.41769748939488,92.30091451383201,100.0,0.0
0,6.5,74.81801430363132,94.03265732835581,100.0,0.0
0,6.6,76.22635334680747,95.7789980690176,100.0,0.0
0,6.7,77.64274660819459,97.5400435079484,100.0,0.0
0,6.8,79.05901927072951,99.31590107299735,100.0,0.0
0,6.9,80.37033322978478,101.10667885100995,100.0,0.0
0,7.0,81.68848054613153,102.91248559111828,100.0,0.0
0,7.1,83.01348400678621,104.73343070804349,100.0,0.0
0,7.2,84.34536644341186,106.56962428541036,100.0,0.0
0,7.3,85.6841507323575,108.42117707907413,100.0,0.0
0,7.4,87.02985979469697,110.28820052045971,100.0,0.0
0,7.5,88.38251659626846,112.17080671991297,100.0,0.0
0,7.6,89.7421441477135,114.06910847006448,100.0,0.0
0,7.7,91.10876550451653,115.98321924920553,100.0,0.0
0,7.8,92.68752937956162,117.91325322467647,100.0,0.0
0,7.9,94.32064217829293,119.85932525626764,100.0,0.0
0,8.0,95.72015173780382,121.82155089963247,100.0,0.0
0,8.1,97.12756454992211,123.80004640971323,100.0,0.0
0,8.2,98.54291179255003,125.79492874417913,100.0,0.0
0,8.3,99.8824770985542,127.80631556687719,100.0,0.0
0,8.4,101.13482330578442,129.83432525129498,100.0,0.0
0,8.5,102.39386912254224,131.87907688403712,100.0,0.0
0,8.6,103.72690535939597,133.94069026831312,100.0,0.0
0,8.7,105.16474271486187,136.01928592743863,100.0,0.0
0,8.8,106.60983045685164,138.11498510834912,100.0,0.0
0,8.9,108.06219218202217,140.22790978512614,100.0,0.0
0,9.0,109.71256844354636,142.35818266253682,100.0,0.0
0,9.1,111.38857926022933,144.50592717958514,100.0,0.0
0,9.2,113.07443776396315,146.67126751307705,100.0,0.0
0,9.3,114.6443945902796,148.8543285811977,100.0,0.0
0,9.4,116.15741374383998,151.0552360471018,100.0,0.0
0,9.5,117.6787793657909,153.2741163225168,100.0,0.0
0,9.6,119.20852367114708,155.51109657135882,100.0,0.0
0,9.7,120.74667894953348,157.76630471336188,100.0,0.0
0,9.8,122.2932775652551,160.03986942771962,100.0,0.0
0,9.9,123.87252667015356,162.33192015674032,100.0,0.0
