strategy,S&P500
1.895758524,-3.357108624
1.895758524,-3.357108624
1.895758524,-3.357108624
-5.206157268,-3.356596222
-5.206157268,-3.356596222
-5.206157268,-3.356596222
-5.206157268,-3.356596222
-5.206157268,-3.356596222
-5.206157268,-3.356596222
-5.206157268,-3.356596222
-5.206157268,-3.356596222
-5.206157268,-3.356596222
-5.206157268,-3.356596222
-0.122011126,-3.349638972
-0.122011126,-3.349638972
-0.122011126,-3.349638972
-0.122011126,-3.349638972
-0.122011126,-3.349638972
-0.122011126,-3.349638972
-0.122011126,-3.349638972
-0.122011126,-3.349638972
-0.122011126,-3.349638972
-0.122011126,-3.349638972
9.479660157,-3.345704378
9.479660157,-3.345704378
9.479660157,-3.345704378
9.479660157,-3.345704378
9.479660157,-3.345704378
9.479660157,-3.345704378
9.479660157,-3.345704378
9.479660157,-3.345704378
9.479660157,-3.345704378
9.479660157,-3.345704378
-0.413984084,-3.295455698
-0.413984084,-3.295455698
-0.413984084,-3.295455698
-0.413984084,-3.295455698
-0.413984084,-3.295455698
-0.413984084,-3.295455698
-0.413984084,-3.295455698
-0.413984084,-3.295455698
-0.413984084,-3.295455698
-0.413984084,-3.295455698
10.79056104,-3.256903254
10.79056104,-3.256903254
10.79056104,-3.256903254
10.79056104,-3.256903254
10.79056104,-3.256903254
10.79056104,-3.256903254
10.79056104,-3.256903254
10.79056104,-3.256903254
10.79056104,-3.256903254
10.79056104,-3.256903254
4.482182323,-3.224694972
4.482182323,-3.224694972
4.482182323,-3.224694972
4.482182323,-3.224694972
4.482182323,-3.224694972
4.482182323,-3.224694972
4.482182323,-3.224694972
4.482182323,-3.224694972
4.482182323,-3.224694972
4.482182323,-3.224694972
0.750112836,-3.197307645
0.750112836,-3.197307645
0.750112836,-3.197307645
0.750112836,-3.197307645
0.750112836,-3.197307645
0.750112836,-3.197307645
0.750112836,-3.197307645
0.750112836,-3.197307645
0.750112836,-3.197307645
0.750112836,-3.197307645
-1.676971643,-3.109187076
-1.676971643,-3.109187076
-1.676971643,-3.109187076
-1.676971643,-3.109187076
-1.676971643,-3.109187076
-1.676971643,-3.109187076
-1.676971643,-3.109187076
-1.676971643,-3.109187076
-1.676971643,-3.109187076
-1.676971643,-3.109187076
0.263001167,-3.073132173
0.263001167,-3.073132173
0.263001167,-3.073132173
0.263001167,-3.073132173
0.263001167,-3.073132173
0.263001167,-3.073132173
0.263001167,-3.073132173
0.263001167,-3.073132173
0.263001167,-3.073132173
0.263001167,-3.073132173
7.416240764,-3.071358685
7.416240764,-3.071358685
7.416240764,-3.071358685
7.416240764,-3.071358685
7.416240764,-3.071358685
7.416240764,-3.071358685
7.416240764,-3.071358685
7.416240764,-3.071358685
7.416240764,-3.071358685
7.416240764,-3.071358685
-2.307295951,-3.071282025
-2.307295951,-3.071282025
-2.307295951,-3.071282025
-2.307295951,-3.071282025
-2.307295951,-3.071282025
-2.307295951,-3.071282025
-2.307295951,-3.071282025
-2.307295951,-3.071282025
-2.307295951,-3.071282025
-2.307295951,-3.071282025
-11.52077956,-3.067195994
-11.52077956,-3.067195994
-11.52077956,-3.067195994
-11.52077956,-3.067195994
-11.52077956,-3.067195994
-11.52077956,-3.067195994
-11.52077956,-3.067195994
-11.52077956,-3.067195994
-11.52077956,-3.067195994
