n,median,mean,positives
127,0.581660986464299,0.31911562624173045,58.429118773946364
128,0.25503564875640783,0.35993260768739427,52.490421455938694
129,0.40943400689914233,0.2885264687494661,54.78927203065134
130,0.24460381702250794,0.030974585570805405,52.490421455938694
131,0.3706760124469777,0.29700880769184435,53.44827586206896
132,0.5281162277828784,0.3747867407568647,56.13026819923371
133,0.2730357762282743,0.23376472238992915,55.55555555555556
134,0.34746605702382005,0.4435282153229527,55.938697318007655
135,0.19603124458218107,0.05034716875784623,52.29885057471264
136,0.29614393011889173,0.2655169569773871,54.02298850574713
137,0.3362795721190128,0.2004298729920447,54.214559386973185
138,0.34251335560537455,0.3277082830109984,55.3639846743295
139,0.27367959359095406,0.24691561750553898,54.78927203065134
140,0.5735860950538916,0.5985350662235311,58.04597701149425
141,0.025341136117024522,0.05400508352308943,50.191570881226056
142,0.27447232268049304,0.31620129172174005,53.83141762452107
143,0.26551246350049107,0.22856527462188225,53.63984674329502
144,0.5003497284127482,0.6882531179998629,58.81226053639846
145,0.38557718183953693,0.3479375501041187,55.3639846743295
146,0.48262107120455805,0.49713740487646524,59.00383141762452
147,0.06758493536432596,0.3953493247069225,50.95785440613027
148,0.42898529916015393,0.17576885676147375,55.172413793103445
149,0.31165998878112977,0.3889698278842272,54.214559386973185
150,0.20954444865367783,0.18485238738478327,53.83141762452107
151,0.23948042496880267,0.23573939694232246,53.06513409961686
152,0.4747587072601536,0.33478192609744606,54.98084291187739
153,0.1705243695302257,0.018439019735392994,52.87356321839081
154,0.3080689535591914,0.31595910170876557,54.214559386973185
155,0.3958363994280918,0.3644093440795217,55.55555555555556
156,0.1796285086586351,0.14644709309536136,52.68199233716475
157,0.5016811277531262,0.39581814017727246,57.47126436781609
158,0.3357842059220567,0.3875193740529469,55.55555555555556
159,0.3438406727124298,0.17343553407910892,54.406130268199234
160,0.43822891052374235,0.45585670676837414,57.47126436781609
161,0.18190979168618787,0.047237576196501506,52.87356321839081
162,0.310236986696422,0.1915293481006896,53.83141762452107
163,0.35558241162253434,0.29045812509044094,54.406130268199234
164,0.23973290151837,0.27997889576853496,54.214559386973185
165,0.3637664618717541,0.2847753151731845,54.59770114942529
166,0.13049868349381566,0.043660094533369526,51.53256704980843
167,0.2481711941644798,0.4632307722499426,55.55555555555556
168,0.28920337148938574,0.35303732963264567,54.406130268199234
169,0.14264912431468432,0.22984732209948558,51.53256704980843
