border,n,median,mean,win_rate,sortino,,,,n,win_rate,median,win_rate2,tot_win:,median2,tot_med,,,n,median,median2
0,-2.2,15.86161838,21.53226398,99.70958374,116.7268855,,,,-2.2,99.70958374,15.86161838,4.646660213,104.356244,-15.39497964,0.466638737,,,-2.2,15.86161838,-15.39497964
0,-2.1,15.3455027,20.57855195,99.61277832,94.87467433,,,,-2.1,99.61277832,15.3455027,5.033881897,104.6466602,-14.64545398,0.700048717,,,-2.1,15.3455027,-14.64545398
0,-2,14.7928348,19.63558239,99.51597289,78.34400839,,,,-2,99.51597289,14.7928348,5.22749274,104.7434656,-13.82952357,0.963311234,,,-2,14.7928348,-13.82952357
0,-1.9,14.15212536,18.70320546,99.51597289,63.31238664,,,,-1.9,99.51597289,14.15212536,6.001936108,105.517909,-13.09449664,1.057628725,,,-1.9,14.15212536,-13.09449664
0,-1.8,13.53019842,17.78127343,99.51597289,50.88999294,,,,-1.8,99.51597289,13.53019842,6.485963214,106.0019361,-12.25580827,1.274390148,,,-1.8,13.53019842,-12.25580827
0,-1.7,13.03980546,16.86964069,99.32236205,41.23045041,,,,-1.7,99.32236205,13.03980546,7.066795741,106.3891578,-11.52873252,1.511072944,,,-1.7,13.03980546,-11.52873252
0,-1.6,12.48353391,15.96816366,99.32236205,33.74923131,,,,-1.6,99.32236205,12.48353391,7.454017425,106.7763795,-10.5416798,1.941854108,,,-1.6,12.48353391,-10.5416798
0,-1.5,11.92169409,15.07670083,98.54791868,27.93074116,,,,-1.5,98.54791868,11.92169409,8.228460794,106.7763795,-9.694012743,2.227681347,,,-1.5,11.92169409,-9.694012743
0,-1.4,11.36164684,14.1951127,98.160697,23.23199,,,,-1.4,98.160697,11.36164684,9.583736689,107.7444337,-8.797395445,2.564251395,,,-1.4,11.36164684,-8.797395445
0,-1.3,10.7778534,13.32326173,97.67666989,19.11695599,,,,-1.3,97.67666989,10.7778534,11.22942885,108.9060987,-7.973798503,2.804054897,,,-1.3,10.7778534,-7.973798503
0,-1.2,10.24596002,12.46101237,96.90222652,15.57135786,,,,-1.2,96.90222652,10.24596002,12.19748306,109.0997096,-7.231972595,3.013987425,,,-1.2,10.24596002,-7.231972595
0,-1.1,9.676086273,11.60823101,96.8054211,12.61632035,,,,-1.1,96.8054211,9.676086273,14.03678606,110.8422072,-6.447669649,3.228416624,,,-1.1,9.676086273,-6.447669649
0,-1,9.083982486,10.76478595,96.12778316,10.23520757,,,,-1,96.12778316,9.083982486,16.55372701,112.6815102,-5.704645702,3.379336784,,,-1,9.083982486,-5.704645702
0,-0.9,8.396747088,9.93054737,94.67570184,8.318969396,,,,-0.9,94.67570184,8.396747088,20.23233301,114.9080349,-4.909129623,3.487617465,,,-0.9,8.396747088,-4.909129623
0,-0.8,7.580318559,9.105387321,94.19167473,6.750383256,,,,-0.8,94.19167473,7.580318559,23.52371733,117.7153921,-4.118218344,3.462100215,,,-0.8,7.580318559,-4.118218344
0,-0.7,6.700221301,8.289179697,92.06195547,5.450873319,,,,-0.7,92.06195547,6.700221301,26.81510165,118.8770571,-3.196575622,3.503645679,,,-0.7,6.700221301,-3.196575622
0,-0.6,5.943802466,7.481800211,89.54501452,4.356173208,,,,-0.6,89.54501452,5.943802466,31.07454017,120.6195547,-2.346700211,3.597102255,,,-0.6,5.943802466,-2.346700211
0,-0.5,5.203906401,6.683126367,87.41529526,3.384251932,,,,-0.5,87.41529526,5.203906401,36.6892546,124.1045499,-1.603986963,3.599919438,,,-0.5,5.203906401,-1.603986963
0,-0.4,4.603938302,5.893037441,84.89835431,2.552088388,,,,-0.4,84.89835431,4.603938302,44.14327202,129.0416263,-0.777455539,3.826482763,,,-0.4,4.603938302,-0.777455539
0,-0.3,3.989129702,5.111414458,82.96224589,1.889404519,,,,-0.3,82.96224589,3.989129702,50.24201355,133.2042594,0.037828145,4.026957847,,,-0.3,3.989129702,0.037828145
0,-0.2,3.481741905,4.338140167,79.28363988,1.375281946,,,,-0.2,79.28363988,3.481741905,57.69603098,136.9796709,0.863199883,4.344941788,,,-0.2,3.481741905,0.863199883
0,-0.1,2.898102165,3.57309902,75.99225557,0.978097218,,,,-0.1,75.99225557,2.898102165,63.69796709,139.6902227,1.704478789,4.602580954,,,-0.1,2.898102165,1.704478789
0,0,2.448747288,2.816177149,72.41045499,0.670916052,,,,0,72.41045499,2.448747288,69.31268151,141.7231365,2.503855577,4.952602865,,,0,2.448747288,2.503855577
0,0.1,1.98935428,2.067262346,67.47337851,0.432413235,,,,0.1,67.47337851,1.98935428,74.44336883,141.9167473,3.542054878,5.531409158,,,0.1,1.98935428,3.542054878
